,road,class_name,spectral_centroid,mfcc_mean,mfcc_var,zcr,leq
144,NYAYO LA RD (1°18_20_ S 36°49_21_E),bicycle,2736.6599506932057,-8.3862346400565e-08,0.9999999105930328,0.09935795,0.0
145,NYAYO LA RD (1°18_20_ S 36°49_21_E),motorcycle,2176.096993594746,-3.9505403886468884e-08,0.9999999006589254,0.08896338,0.0
146,NYAYO LA RD (1°18_20_ S 36°49_21_E),other,2760.808922807406,6.265418317497051e-08,0.9999998509883881,0.10267614,0.0
147,NYAYO LA RD (1°18_20_ S 36°49_21_E),pickup,1542.4728879403651,-1.1643697916952078e-07,0.9999999403953552,0.048397727,0.0
148,NYAYO LA RD (1°18_20_ S 36°49_21_E),private car,1961.2362911711746,4.868320623822791e-08,0.9999999184357492,0.08290969,0.0
149,OLA ENERGY WAIYAKI WAY(1° 15_ 33_S 36°46_ 47_E),PSV,2020.9634535810405,4.820785504122682e-08,0.9999999329447746,0.08439915,0.0
150,OLA ENERGY WAIYAKI WAY(1° 15_ 33_S 36°46_ 47_E),SUV,1933.543118317972,-6.757504555920946e-09,0.9999999478459358,0.09262642,0.0
151,OLA ENERGY WAIYAKI WAY(1° 15_ 33_S 36°46_ 47_E),motorcycle,2266.6498193184325,-6.580768685537919e-08,0.9999998807907104,0.0919304,0.0
152,OLA ENERGY WAIYAKI WAY(1° 15_ 33_S 36°46_ 47_E),other,1734.2453854432297,-1.1227851648420994e-08,0.9999999403953552,0.08023012,0.0
153,OLA ENERGY WAIYAKI WAY(1° 15_ 33_S 36°46_ 47_E),pickup,2266.2901737415987,2.772306828546789e-10,0.9999999403953552,0.11117613,0.0
154,OLA ENERGY WAIYAKI WAY(1° 15_ 33_S 36°46_ 47_E),private car,1948.1746570262676,5.498412984176563e-09,0.9999999006589254,0.088689126,0.0
155,OPP. KU HOSPITAL (1°10_34_ S 36°54_47_E),PSV,1812.660916351985,6.858577002629336e-09,0.9999999652306238,0.0775786,0.0
156,OPP. KU HOSPITAL (1°10_34_ S 36°54_47_E),bicycle,1216.8859098868602,-3.437663025351867e-08,0.9999998807907104,0.046636365,0.0
157,OPP. KU HOSPITAL (1°10_34_ S 36°54_47_E),motorcycle,1822.0549699626376,2.510145077301875e-08,0.9999999352123426,0.071165755,0.0
158,OPP. KU HOSPITAL (1°10_34_ S 36°54_47_E),other,896.3721161422712,-3.6040017192817686e-08,0.9999998807907104,0.033431817,0.0
159,OPP. KU HOSPITAL (1°10_34_ S 36°54_47_E),pickup,1883.0490392635409,-4.144601994937602e-08,1.0000001192092896,0.08051136,0.0
160,OPP. KU HOSPITAL (1°10_34_ S 36°54_47_E),private car,1597.5331919088578,-4.665796193847882e-08,0.9999999821186065,0.06566932,0.0
161,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),PSV,2056.6058625253404,8.514958896707217e-10,0.9999999574252537,0.08355357,0.0
162,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),SUV,1843.667289577024,-4.435694478388541e-09,0.9999999403953552,0.05090341,0.0
163,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),bicycle,2618.4849015516834,5.9604645663569045e-09,1.0,0.08242045,0.0
164,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),medium truck,2137.799276946499,3.607082139151569e-08,0.9999999337726169,0.08057323,0.0
165,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),motorcycle,1901.6798140897222,3.488489312234814e-09,0.9999999503294627,0.06565057,0.0
166,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),other,1803.0772948030904,-2.7010210702980786e-08,0.9999999489103045,0.06357793,0.0
167,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),pickup,1402.577673505918,8.316927146978514e-09,0.9999999701976776,0.045051135,0.0
168,QUALITY MEAT PACKERS(1°15_10_S 36°57_34_E),private car,1543.919128048627,-7.95751705798661e-08,0.9999998893056598,0.06011526,0.0
169,RAILAODINGA RD NXT TOTOTAL (1°18_48_S36°48_45_E),PSV,1855.011038981842,5.9565039757712516e-08,0.9999998978206089,0.07756331,0.0
